pid	graphType	setIndex	obsIndex	edgeAB.true	edgeAC.true	edgeBC.true	activations.A	activations.B	activations.C	explanation.node1	explanation.node2	explanation.nodes_active	explanation.cause	edgeAB.response	edgeAC.response	edgeBC.response	responseTime
8	separate	0	3	none	none	none	True	True	False	A	B	True	False	none	none	none	9199
8	separate	0	4	none	none	none	False	False	True	A	B	False	False	none	none	none	39463
8	separate	0	5	none	none	none	True	True	False	A	B	True	False	none	forward	none	16795
8	separate	0	6	none	none	none	True	False	False	C	B	False	False	none	forward	forward	11682
8	separate	0	7	none	none	none	True	True	True	A	C	True	False	none	none	forward	16513
8	separate	0	8	none	none	none	True	False	True	A	C	True	False	none	none	forward	5418
8	separate	0	9	none	none	none	True	True	True	C	B	True	False	none	none	forward	4754
8	common_effect	1	0	forward	none	backward	True	True	True	C	A	True	False	none	none	none	8141
8	common_effect	1	1	forward	none	backward	True	True	True	B	C	True	False	none	none	none	15499
8	common_effect	1	2	forward	none	backward	False	False	False	C	B	False	True	none	none	backward	18586
8	common_effect	1	3	forward	none	backward	False	True	True	C	B	True	True	none	none	backward	7889
8	common_effect	1	4	forward	none	backward	False	True	True	B	C	True	False	none	none	backward	5834
8	common_effect	1	5	forward	none	backward	True	True	True	B	C	True	False	none	forward	backward	5789
8	common_effect	1	6	forward	none	backward	True	True	False	A	B	True	True	forward	none	backward	19819
8	common_effect	1	7	forward	none	backward	True	True	True	C	B	True	True	forward	none	backward	3031
8	common_effect	1	8	forward	none	backward	False	True	True	C	B	True	False	forward	none	backward	1649
8	common_effect	1	9	forward	none	backward	False	True	True	C	B	True	True	forward	none	backward	1638
8	skip	2	0	forward	backward	backward	True	True	True	C	B	True	True	none	none	backward	5908
